
======================================================================
                    卷积神经网络 (CNN) 训练报告
======================================================================

生成时间: 2026-01-10 22:05:25

【模型配置】
----------------------------------------------------------------------
  网络结构: Conv(32)->BN->ReLU->Pool->Dropout -> Conv(64)->BN->ReLU->Pool->Dropout -> Conv(128)->BN->ReLU->Pool->Dropout -> FC(256)->Dropout->FC(128)->FC(10) (数据增强+Label Smoothing)
  训练轮数: 120
  批次大小: 256
  学习率: 0.001
  训练时间: 2409.88 秒 (40.16 分钟)

【数据集信息】
----------------------------------------------------------------------
  训练样本数: 60,000
  测试样本数: 10,000
  输入维度: 784
  类别数量: 10

【训练过程】
----------------------------------------------------------------------
  初始训练准确率: 0.7746 (77.46%)
  初始测试准确率: 0.7556 (75.56%)
  最高训练准确率: 0.9262 (92.62%)
  最高测试准确率: 0.9127 (91.27%)
  准确率提升: 0.1565 (15.65%)

  各轮次详细数据:
  --------------------------------------------------
  Epoch    训练准确率           测试准确率          
  --------------------------------------------------
  1        0.7746 (77.46%)   0.7556 (75.56%)
  2        0.8022 (80.22%)   0.7882 (78.82%)
  3        0.8356 (83.56%)   0.8210 (82.10%)
  4        0.8530 (85.30%)   0.8377 (83.77%)
  5        0.8582 (85.82%)   0.8435 (84.35%)
  6        0.8638 (86.38%)   0.8517 (85.17%)
  7        0.8640 (86.40%)   0.8560 (85.60%)
  8        0.8694 (86.94%)   0.8610 (86.10%)
  9        0.8712 (87.12%)   0.8606 (86.06%)
  10       0.8766 (87.66%)   0.8648 (86.48%)
  11       0.8794 (87.94%)   0.8648 (86.48%)
  12       0.8842 (88.42%)   0.8738 (87.38%)
  13       0.8874 (88.74%)   0.8786 (87.86%)
  14       0.8894 (88.94%)   0.8794 (87.94%)
  15       0.8970 (89.70%)   0.8814 (88.14%)
  16       0.8940 (89.40%)   0.8828 (88.28%)
  17       0.8976 (89.76%)   0.8881 (88.81%)
  18       0.9034 (90.34%)   0.8889 (88.89%)
  19       0.8968 (89.68%)   0.8884 (88.84%)
  20       0.9032 (90.32%)   0.8865 (88.65%)
  21       0.8982 (89.82%)   0.8859 (88.59%)
  22       0.9016 (90.16%)   0.8908 (89.08%)
  23       0.9040 (90.40%)   0.8889 (88.89%)
  24       0.9068 (90.68%)   0.8931 (89.31%)
  25       0.9048 (90.48%)   0.8936 (89.36%)
  26       0.9090 (90.90%)   0.8966 (89.66%)
  27       0.9108 (91.08%)   0.8967 (89.67%)
  28       0.9052 (90.52%)   0.8928 (89.28%)
  29       0.9090 (90.90%)   0.8971 (89.71%)
  30       0.9130 (91.30%)   0.8991 (89.91%)
  31       0.9082 (90.82%)   0.8973 (89.73%)
  32       0.9120 (91.20%)   0.8970 (89.70%)
  33       0.9112 (91.12%)   0.8978 (89.78%)
  34       0.9106 (91.06%)   0.8984 (89.84%)
  35       0.9146 (91.46%)   0.8991 (89.91%)
  36       0.9152 (91.52%)   0.9017 (90.17%)
  37       0.9138 (91.38%)   0.9026 (90.26%)
  38       0.9080 (90.80%)   0.8964 (89.64%)
  39       0.9102 (91.02%)   0.8949 (89.49%)
  40       0.9184 (91.84%)   0.9002 (90.02%)
  41       0.9144 (91.44%)   0.8994 (89.94%)
  42       0.9166 (91.66%)   0.8987 (89.87%)
  43       0.9090 (90.90%)   0.8953 (89.53%)
  44       0.9156 (91.56%)   0.9032 (90.32%)
  45       0.9142 (91.42%)   0.9014 (90.14%)
  46       0.9102 (91.02%)   0.8935 (89.35%)
  47       0.9162 (91.62%)   0.9021 (90.21%)
  48       0.9154 (91.54%)   0.9036 (90.36%)
  49       0.9196 (91.96%)   0.9035 (90.35%)
  50       0.9178 (91.78%)   0.9008 (90.08%)
  51       0.9158 (91.58%)   0.9007 (90.07%)
  52       0.9190 (91.90%)   0.9020 (90.20%)
  53       0.9188 (91.88%)   0.9027 (90.27%)
  54       0.9178 (91.78%)   0.9038 (90.38%)
  55       0.9170 (91.70%)   0.9006 (90.06%)
  56       0.9206 (92.06%)   0.9055 (90.55%)
  57       0.9200 (92.00%)   0.9057 (90.57%)
  58       0.9238 (92.38%)   0.9057 (90.57%)
  59       0.9164 (91.64%)   0.9013 (90.13%)
  60       0.9206 (92.06%)   0.9066 (90.66%)
  61       0.9194 (91.94%)   0.9076 (90.76%)
  62       0.9208 (92.08%)   0.9054 (90.54%)
  63       0.9234 (92.34%)   0.9077 (90.77%)
  64       0.9190 (91.90%)   0.9040 (90.40%)
  65       0.9234 (92.34%)   0.9093 (90.93%)
  66       0.9232 (92.32%)   0.9072 (90.72%)
  67       0.9214 (92.14%)   0.9065 (90.65%)
  68       0.9236 (92.36%)   0.9079 (90.79%)
  69       0.9224 (92.24%)   0.9098 (90.98%)
  70       0.9220 (92.20%)   0.9042 (90.42%)
  71       0.9220 (92.20%)   0.9079 (90.79%)
  72       0.9200 (92.00%)   0.9049 (90.49%)
  73       0.9226 (92.26%)   0.9086 (90.86%)
  74       0.9226 (92.26%)   0.9067 (90.67%)
  75       0.9240 (92.40%)   0.9096 (90.96%)
  76       0.9206 (92.06%)   0.9069 (90.69%)
  77       0.9202 (92.02%)   0.9085 (90.85%)
  78       0.9232 (92.32%)   0.9084 (90.84%)
  79       0.9216 (92.16%)   0.9084 (90.84%)
  80       0.9242 (92.42%)   0.9075 (90.75%)
  81       0.9216 (92.16%)   0.9071 (90.71%)
  82       0.9252 (92.52%)   0.9116 (91.16%)
  83       0.9240 (92.40%)   0.9108 (91.08%)
  84       0.9196 (91.96%)   0.9062 (90.62%)
  85       0.9226 (92.26%)   0.9086 (90.86%)
  86       0.9226 (92.26%)   0.9101 (91.01%)
  87       0.9242 (92.42%)   0.9101 (91.01%)
  88       0.9226 (92.26%)   0.9078 (90.78%)
  89       0.9238 (92.38%)   0.9117 (91.17%)
  90       0.9248 (92.48%)   0.9101 (91.01%)
  91       0.9242 (92.42%)   0.9111 (91.11%)
  92       0.9240 (92.40%)   0.9109 (91.09%)
  93       0.9254 (92.54%)   0.9117 (91.17%)
  94       0.9244 (92.44%)   0.9117 (91.17%)
  95       0.9240 (92.40%)   0.9106 (91.06%)
  96       0.9240 (92.40%)   0.9108 (91.08%)
  97       0.9240 (92.40%)   0.9115 (91.15%)
  98       0.9250 (92.50%)   0.9117 (91.17%)
  99       0.9250 (92.50%)   0.9124 (91.24%)
  100      0.9238 (92.38%)   0.9116 (91.16%)
  101      0.9252 (92.52%)   0.9127 (91.27%)
  102      0.9242 (92.42%)   0.9121 (91.21%)
  103      0.9252 (92.52%)   0.9118 (91.18%)
  104      0.9244 (92.44%)   0.9116 (91.16%)
  105      0.9246 (92.46%)   0.9110 (91.10%)
  106      0.9242 (92.42%)   0.9120 (91.20%)
  107      0.9240 (92.40%)   0.9118 (91.18%)
  108      0.9240 (92.40%)   0.9119 (91.19%)
  109      0.9252 (92.52%)   0.9120 (91.20%)
  110      0.9238 (92.38%)   0.9111 (91.11%)
  111      0.9236 (92.36%)   0.9115 (91.15%)
  112      0.9252 (92.52%)   0.9112 (91.12%)
  113      0.9246 (92.46%)   0.9115 (91.15%)
  114      0.9262 (92.62%)   0.9119 (91.19%)
  115      0.9260 (92.60%)   0.9123 (91.23%)
  116      0.9248 (92.48%)   0.9121 (91.21%)

【最终性能】
----------------------------------------------------------------------
  训练准确率: 0.9248 (92.48%)
  测试准确率: 0.9121 (91.21%)
  过拟合程度: 0.0127 (1.27%)

【各类别性能】
----------------------------------------------------------------------
  类别              准确率        正确/总数
  ----------------------------------------
  T-shirt/top     0.8110     811/1000
  Trouser         0.9920     992/1000
  Pullover        0.8570     857/1000
  Dress           0.9250     925/1000
  Coat            0.8460     846/1000
  Sandal          0.9900     990/1000
  Shirt           0.7980     798/1000
  Sneaker         0.9780     978/1000
  Bag             0.9840     984/1000
  Ankle boot      0.9400     940/1000

【预测示例】
----------------------------------------------------------------------
  样本 # 9548: 真实=Trouser         | 预测=Trouser         ✓
  样本 #  586: 真实=Shirt           | 预测=Shirt           ✓
  样本 # 8073: 真实=Sneaker         | 预测=Sneaker         ✓
  样本 # 4385: 真实=Sandal          | 预测=Sandal          ✓
  样本 # 1857: 真实=Dress           | 预测=Dress           ✓
  样本 # 4369: 真实=Ankle boot      | 预测=Ankle boot      ✓
  样本 # 6205: 真实=T-shirt/top     | 预测=T-shirt/top     ✓
  样本 # 3093: 真实=Bag             | 预测=Bag             ✓
  样本 # 5034: 真实=Trouser         | 预测=Trouser         ✓
  样本 # 1833: 真实=Dress           | 预测=Dress           ✓

  随机样本准确率: 10/10

【总结】
----------------------------------------------------------------------
  模型性能评级: 优秀
  训练状态: 训练正常
  建议: 模型表现良好，可以投入使用

======================================================================
                         报告生成完成
======================================================================
